uid	name	regulation	correct.pred	incorrect.pred	score	total.reachable	significant.reachable	total.ambiguous	significant.ambiguous	unknow	quaternary.pval	ternary.pval	enrichment.pval	quaternary.qval	ternary.qval	enrichment.qval
1	ARF5	up	1	0	1	141	3	60	2	7667	0.161022822747112	0.445852265529611	0.255408217392806	0.966392286328733	0.99919510495955	0.768937097994266
1	ARF5	down	0	1	-1	141	3	60	2	7667	0.401744546860909	0.859188744228464	0.255408217392806	0.986252895000267	0.999582160157609	0.768937097994266
2	ESRRA	up	0	0	0	18	0	7	0	7790	0.975580724932822	0.973374549730211	1	0.994292787708333	0.999631158542715	0.928721313574718
2	ESRRA	down	0	0	0	18	0	7	0	7790	0.908561320047363	0.900603682485142	1	0.993874377910959	0.999601367177683	0.928721313574718
3	FKBP4	up	1	0	1	10	2	3	1	7798	0.00356027087103926	0.0530201693393338	0.0064419926337613	0.388672615176492	0.993271676373802	0.27712214579759
3	FKBP4	down	0	1	-1	10	2	3	1	7798	0.948326654080527	0.998792979027616	0.0064419926337613	0.994129730308477	0.999640541869037	0.27712214579759
6	CFTR	up	1	0	1	22	1	6	0	7786	0.162546846083757	0.102630544624184	0.240727205907439	0.966696895070079	0.996512725397863	0.758252095058656
6	CFTR	down	0	1	-1	22	1	6	0	7786	0.9949927440489	0.994615195629825	0.240727205907439	0.994403510613621	0.999639032545492	0.758252095058656
7	CYP51A1	up	0	0	0	12	0	4	0	7796	0.986492633172814	0.985804345565612	0.999999999993848	0.994355560666174	0.999635807491915	0.928721313574311
7	CYP51A1	down	0	0	0	12	0	4	0	7796	0.923756771656511	0.919989605949194	0.999999999993848	0.993974534940359	0.999609763848299	0.928721313574311
8	NA	up	0	0	0	18	0	0	0	7790	0.971473964757154	0.971473964757154	1	0.994268799599282	0.999630437210504	0.928721313574718
8	NA	down	0	0	0	18	0	0	0	7790	0.831912051521972	0.831912051521972	1	0.993313759636239	0.999568465956831	0.928721313574718
9	PDK4	up	0	0	0	5	0	1	0	7803	0.976161576405933	0.975864031418598	0.999999999994824	0.994296164336022	0.999632099130962	0.928721313574375
9	PDK4	down	0	0	0	5	0	1	0	7803	0.976161576405933	0.975864031418598	0.999999999994824	0.994296164336022	0.999632099130962	0.928721313574375
11	RALA	up	1	0	1	205	3	102	2	7603	0.341144112922378	0.531908858832164	0.470805187773118	0.98385031348717	0.999325239635241	0.859832620810101
11	RALA	down	0	1	-1	205	3	102	2	7603	0.503366690839475	0.788375454695666	0.470805187773118	0.988997693122319	0.999544646127623	0.859832620810101
12	CACNG3	up	0	0	0	27	0	0	0	7781	0.832846662062897	0.832846662062897	1	0.993321212742626	0.999568950010421	0.928721313574718
12	CACNG3	down	0	0	0	27	0	0	0	7781	0.899400946305686	0.899400946305686	1	0.993812374661107	0.999600834313292	0.928721313574718
13	DVL2	up	2	1	1	83	4	44	1	7725	0.157166586952817	0.177759392476196	0.0194898278787881	0.965596057657668	0.997983627384936	0.43521307434081
13	DVL2	down	1	2	-1	83	4	44	1	7725	0.890301316662912	0.979964143311498	0.0194898278787881	0.993749527213376	0.99963363784246	0.43521307434081
15	HOXA11	up	0	0	0	6	0	2	0	7802	0.992756066406032	0.992573157000828	1	0.994390972456597	0.999638290189263	0.928721313574718
15	HOXA11	down	0	0	0	6	0	2	0	7802	0.959867774985578	0.958867519072649	1	0.994199903034748	0.999625580305076	0.928721313574718
16	CX3CL1	up	0	0	0	24	0	2	0	7784	0.967455104743229	0.966646710678771	0.999999999997583	0.994245128897991	0.999628592368039	0.928721313574558
16	CX3CL1	down	0	0	0	24	0	2	0	7784	0.804314905101991	0.799883856793363	0.999999999997583	0.993085931752781	0.999551194632757	0.928721313574558
20	ITGA3	up	0	1	-1	61	1	0	0	7747	0.996777496739153	0.996777496739153	0.534909274639944	0.994413475274099	0.99963981530714	0.874522682567068
